question;answer;book title
How does Pooh try to reach the honey in the tree?;He climbs the tree but falls into a gorse bush.;Winnie-The-Pooh
What does Pooh use to disguise himself as a cloud?;A blue balloon and mud to turn himself black.;Winnie-The-Pooh
Why does Pooh ask Christopher Robin for an umbrella?;To pretend it might rain and trick the bees.;Winnie-The-Pooh
How does Pooh get down from the balloon?;Christopher Robin shoots the balloon with his gun.;Winnie-The-Pooh
What song does Pooh sing while floating with the balloon?;"""How sweet to be a Cloud Floating in the Blue!""";Winnie-The-Pooh
Why does Pooh get stuck in Rabbit’s door?;He eats too much honey and grows too stout.;Winnie-The-Pooh
How long does Pooh have to wait to get thin again?;A week.;Winnie-The-Pooh
What does Rabbit use Pooh’s legs for while he’s stuck?;As a towel rack.;Winnie-The-Pooh
How is Pooh finally freed?;"Everyone pulls him out, and he goes ""Pop!""";Winnie-The-Pooh
What does Christopher Robin call Pooh affectionately?;"""Silly old Bear.""";Winnie-The-Pooh
What does Pooh think he’s tracking in the snow?;A Woozle (later revealed to be his own footprints).;Winnie-The-Pooh
How many sets of tracks does Pooh think there are?;Four (but it’s just him and Piglet walking in circles).;Winnie-The-Pooh
Who helps Pooh realize his mistake?;Christopher Robin.;Winnie-The-Pooh
What does Piglet claim his grandfather’s name was?;"Trespassers William (from the sign ""Trespassers W"").";Winnie-The-Pooh
Where does Piglet live?;In a grand house in a beech tree.;Winnie-The-Pooh
What does Eeyore lose?;His tail.;Winnie-The-Pooh
Where does Pooh find Eeyore’s tail?;On Owl’s door as a bell-pull.;Winnie-The-Pooh
How does Owl claim he got the tail?;He found it hanging on a bush.;Winnie-The-Pooh
What does Pooh sing after returning the tail?;"""Who found the Tail? ‘I,’ said Pooh.""";Winnie-The-Pooh
How does Eeyore react to getting his tail back?;He frisks happily but pretends it’s no big deal.;Winnie-The-Pooh
What does Pooh use as bait for the Heffalump?;A jar of honey.;Winnie-The-Pooh
Who falls into the trap instead?;Pooh (his head gets stuck in the honey jar).;Winnie-The-Pooh
What does Piglet mistake Pooh for?;A terrifying Heffalump.;Winnie-The-Pooh
How does Piglet react when he sees Pooh in the jar?;He screams and runs to Christopher Robin.;Winnie-The-Pooh
What does Pooh say after being freed?;"""It’s all from trying to be kind to Heffalumps.""";Winnie-The-Pooh
Why is Eeyore gloomy on his birthday?;No one remembers or brings gifts.;Winnie-The-Pooh
What does Pooh originally plan to give Eeyore?;A jar of honey (but he eats it).;Winnie-The-Pooh
What does Piglet give Eeyore?;A burst balloon (he fell on it).;Winnie-The-Pooh
Who is being introduced in Chapter I of Winnie-the-Pooh?;The character who is being introduced in Chapter I of Winnie-the-Pooh is Winnie-the-Pooh (also known as Pooh).;Winnie-The-Pooh
What does Eeyore do with the balloon and pot?;He puts the balloon in the pot repeatedly, delighted.;Winnie-The-Pooh
What is Rabbit’s plan to scare Kanga away?;Steal Roo and replace him with Piglet.;Winnie-The-Pooh
How does Piglet end up in Kanga’s pocket?;Rabbit swaps them while Kanga is distracted.;Winnie-The-Pooh
What does Kanga do when she discovers Piglet?;"Gives him a bath and ""medicine"" (harsh soap).";Winnie-The-Pooh
What name does Christopher Robin give Piglet?;Henry Pootel.;Winnie-The-Pooh
How does Piglet escape?;He runs home and rolls to regain his color.;Winnie-The-Pooh
What does Christopher Robin want to discover?;The North Pole.;Winnie-The-Pooh
What does Pooh find that becomes the North Pole?;A long pole (used to rescue Roo from the stream).;Winnie-The-Pooh
Who almost drowns during the expedition?;Roo (he falls into the stream).;Winnie-The-Pooh
How does Eeyore help rescue Roo?;He offers his tail to grab, but Roo uses Pooh’s pole.;Winnie-The-Pooh
What message does Christopher Robin tie to the pole?;"""North Pole Discovered by Pooh.""";Winnie-The-Pooh
How does Piglet try to call for help?;Sends a message in a bottle.;Winnie-The-Pooh
What does Pooh use as a boat?;"An upside-down umbrella (""The Brain of Pooh"").";Winnie-The-Pooh
Who rescues Piglet?;Christopher Robin and Pooh in the umbrella boat.;Winnie-The-Pooh
What almost happens to Piglet while waiting?;He falls asleep and nearly slips out the window.;Winnie-The-Pooh
What does Owl do during the flood?;Tells a long, boring story to Piglet.;Winnie-The-Pooh
Why does Christopher Robin throw a party?;To celebrate Pooh rescuing Piglet.;Winnie-The-Pooh
What gift does Pooh receive?;"A pencil case with ""B,"" ""HB,"" and ""BB"" pencils.";Winnie-The-Pooh
What does Eeyore think the party is for?;Himself (until corrected).;Winnie-The-Pooh
What does Roo keep doing at the party?;Interrupting with hiccups and loud greetings.;Winnie-The-Pooh
What does Pooh say is the first thing he thinks each morning?;"""What’s for breakfast?"" (Piglet thinks of adventures).";Winnie-The-Pooh
