question;answer;book title
What did the boys tie to their boat's stern?;A line to prevent it from sailing far away.;The Pirate Frog, and Other Tales
Who lay in wait near the floating log?;The Pirate Frog and his trusty followers.;The Pirate Frog, and Other Tales
How did the frogs take over the boys' boat?;They climbed aboard, cut the line, raised the flag, and the captain seized the helm.;The Pirate Frog, and Other Tales
What did the Pirate Frog do to the turtles basking on the shore?;Turned them on their backs and sailed away.;The Pirate Frog, and Other Tales
Who helped the turtles get back on their feet?;Mrs. Muskrat.;The Pirate Frog, and Other Tales
How did the Pirate Frog try to catch a duckling?;He used a lasso made of cord around its neck.;The Pirate Frog, and Other Tales
Who rescued the duckling from the Pirate Frog?;Uncle Peter Pelican.;The Pirate Frog, and Other Tales
What happened to the Pirate Frog’s ship at the water mill?;It was ground to bits, ending his career.;The Pirate Frog, and Other Tales
Who brought her child to the Jungle kindergarten?;Mrs. Tiger.;The Pirate Frog, and Other Tales
What did the tiger cub do at noon time?;He sat alone gnawing an ostrich bone, with feathers and bones strewn around.;The Pirate Frog, and Other Tales
What happened to the other pupils in the kindergarten?;They were missing (implied eaten by the tiger cub).;The Pirate Frog, and Other Tales
Why couldn’t the little eel be vaccinated?;He had no arms or legs.;The Pirate Frog, and Other Tales
What problem did the Snapping Turtle’s daughter have with a belt?;She had no waist to wear it.;The Pirate Frog, and Other Tales
What happened to the Rough Riders of wash day?;Their clothes were soiled by muddy-footed enemies (likely birds).;The Pirate Frog, and Other Tales
Why was the crocodile busy all day?;He had too many teeth to brush.;The Pirate Frog, and Other Tales
What happened to Jane Jenkens when she twisted her hair too tightly?;She couldn’t close her eyes.;The Pirate Frog, and Other Tales
How did the Frogtown firemen try to put out the fire?;With dandelion hoses.;The Pirate Frog, and Other Tales
Why couldn’t the porcupine remove his sweater?;His quills held it fast.;The Pirate Frog, and Other Tales
How did the monkey trick the crocodile?;He pretended to dive but hung by his tail instead.;The Pirate Frog, and Other Tales
What animal should children avoid because it makes them whine?;The Whine-os-ce-ros.;The Pirate Frog, and Other Tales
What did the frog with new spectacles mistake for a monster?;A common fly.;The Pirate Frog, and Other Tales
Why did the turtle’s friends smash his bass-drum?;They disliked the noise.;The Pirate Frog, and Other Tales
What did Robert Pip eat and drink on his ship?;Chocolate drops and ginger beer.;The Pirate Frog, and Other Tales
How did Robert Pip’s ship end up on a foreign shore?;A tidal wave carried it there.;The Pirate Frog, and Other Tales
What did the monkeys use as golf balls?;Young, green coconuts.;The Pirate Frog, and Other Tales
What happened when Marie the monkey swallowed a marble?;She choked and was hung by her tail to save her.;The Pirate Frog, and Other Tales
What did the father monkey mistake for a snake?;Rufus buried in the sand with only his tail showing.;The Pirate Frog, and Other Tales
Why did the old school-teacher bear become peevish?;A fever robbed him of his hair.;The Pirate Frog, and Other Tales
How did the bear’s hair grow back?;He used a famous new medicine.;The Pirate Frog, and Other Tales
Why did Small Wee-Wip hang his moccasins on the wigwam frame?;He hoped Santa Claus would leave gifts.;The Pirate Frog, and Other Tales
Where did Santa leave the gifts for Small Wee-Wip?;On the wigwam top (since there was no chimney).;The Pirate Frog, and Other Tales
Why did Judge Bruin rise hastily from the chair?;Billy Hedgehog’s quills were hidden in it.;The Pirate Frog, and Other Tales
What did the little mermaid regret wanting?;A shirtwaist and blue shoes (since she had no feet).;The Pirate Frog, and Other Tales
How did the Shanghai Twins first surprise Mother Bantam?;They were as tall as her when hatched.;The Pirate Frog, and Other Tales
What happened when the Shanghai Twins tried to scratch for worms?;They accidentally buried Mother Bantam.;The Pirate Frog, and Other Tales
How did the Shanghai Twins defeat the fox?;They fought him until he fled in pain.;The Pirate Frog, and Other Tales
What job did the Shanghai Twins take in the poultry yard?;Police officers.;The Pirate Frog, and Other Tales
Why did the smallest pig live in peace?;He didn’t eat enough to grow or run away.;The Pirate Frog, and Other Tales
What did the little bear break in the barber shop?;A mirror, thinking another bear was inside.;The Pirate Frog, and Other Tales
Why couldn’t the foolish clam stay awake during the day?;He stayed up too late at night.;The Pirate Frog, and Other Tales
What happened to the clam when he yawned on the beach?;A big red bird ate him.;The Pirate Frog, and Other Tales
What are the airships of Meadowville made of?;Thistle down and fluffy silkweed.;The Pirate Frog, and Other Tales
What did Dickie Peg-Leg’s hopping sound like to the girl below?;Rain on a tin roof.;The Pirate Frog, and Other Tales
What did Johnny Bingle shoot with his new gun?;The cuckoo in the clock.;The Pirate Frog, and Other Tales
Why couldn’t the peanut bird be caught with salt?;It had no tail.;The Pirate Frog, and Other Tales
What did the bat with the hand organ expect from passersby?;Coins, but no one gave any because bats are naturally blind.;The Pirate Frog, and Other Tales
How did Billy Wilson bring the lake closer to home?;He tied a string around it and pulled it.;The Pirate Frog, and Other Tales
What did the dancing camel’s driver do when people gathered to watch?;Passed a hat and made a fortune.;The Pirate Frog, and Other Tales
Why couldn’t George Augustus William Bubb play games?;He was too dignified to learn.;The Pirate Frog, and Other Tales
What did Mrs. Robin worry about before moving south?;The heavy baggage, but Mr. Rob said they’d bill it through.;The Pirate Frog, and Other Tales
